Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	d6cc41ab-1a56-4e69-a568-0d27fb6df431
Plate Name	241213_182618-V
Measurement	Measurement 2
Evaluation	Evaluation4
Population	Population - Nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei - Nucleus Area [µm²]	Nuclei - Nucleus Roundness	Nuclei - Intensity Nucleus Alexa 488 Mean	Nuclei - Intensity Nucleus Alexa 488 Median	Nuclei - Intensity Nucleus Alexa 568 Mean	Nuclei - Intensity Nucleus Alexa 568 Median	Nuclei - Green nuclei	Nuclei - Red nuclei	Nuclei - Red and Green nuclei	
2	8	1	1	47	801	497	[770,470,834,530]	76.25	11.71					252.911	0.94917	500.595	491	349.146	343	1	0	0	
2	8	1	1	48	588	497	[555,472,616,526]	13.18	11.75					208.394	0.882151	993.909	612	3481.92	468	1	1	1	
2	8	1	1	49	278	530	[251,502,304,557]	-75.85	2.82					186.6	0.941921	469.851	464	348.426	339	0	0	0	
2	8	1	1	50	369	557	[342,530,408,585]	-47.96	-5.13					245.393	0.938761	465.385	456	348.051	338	0	0	0	
2	8	1	1	51	171	591	[124,542,217,638]	-107	-14.77					580.243	0.98935	477.67	465	343.394	330	0	0	0	
2	8	1	1	52	486	592	[463,563,511,620]	-15.32	-15.07					185.84	0.939718	539.561	525	377.332	361	1	0	0	
2	8	1	1	53	932	606	[902,577,962,638]	114.27	-19.48					240.156	0.899188	396.863	393	320.888	316	0	0	0	
2	8	1	1	54	626	611	[595,578,657,644]	25.17	-20.82					254.263	0.946219	521.302	509	394.867	378	1	0	0	
2	8	1	1	55	771	663	[743,630,795,690]	66.82	-35.11					182.377	0.878759	497.168	492	359.874	350	0	0	0	
2	8	1	1	56	1031	654	[1003,629,1054,686]	142.01	-34.35					185.249	0.905369	417.018	393	331.036	315	0	0	0	
2	8	1	1	57	380	660	[348,634,406,689]	-46.82	-35.24					194.963	0.791846	543.034	533	411.185	397	1	0	0	
2	8	1	1	58	86	707	[47,670,127,745]	-131.83	-49.18					393.558	0.996587	525.677	509	378.487	359	1	0	0	
2	8	1	1	59	901	700	[876,670,927,733]	104.98	-47.6					199.947	0.808607	440.116	429	341.228	330	0	0	0	
2	8	1	1	60	560	712	[529,680,599,745]	6.97	-50.54					286.278	0.937293	559.75	546	396.63	383	1	0	0	
2	8	1	1	61	314	728	[290,704,338,758]	-65.67	-55.3					182.123	0.963364	434.973	431	327.503	322	0	0	0	
2	8	1	1	62	204	717	[192,705,244,737]	-93.89	-52.74					92.3287	0.633533	759.876	765	506.037	504	1	1	1	
2	8	1	1	63	1052	757	[1030,732,1075,785]	149	-63.79					162.948	0.991454	525.995	505	348.306	326	1	0	0	
2	8	1	1	64	843	763	[821,742,863,797]	87.79	-66.71					147.996	0.969365	516.062	518	359.767	351	1	0	0	
2	8	1	1	65	674	770	[644,743,704,800]	38.66	-67.65					203.833	0.956435	492.485	485	373.442	366	0	0	0	
2	8	1	1	66	479	796	[443,760,520,833]	-16.74	-75.06					379.958	1.00787	595.705	582	390.584	380	1	0	0	
2	8	1	1	67	730	780	[713,764,749,796]	55.62	-69.72					80.6715	0.894473	802.536	726	468.333	454	1	0	0	
2	8	1	1	68	218	798	[190,772,245,828]	-93.91	-75.36					203.748	0.99043	415.848	410	319.756	315	0	0	0	
2	8	1	1	69	981	798	[954,777,1009,820]	128.4	-75.88					157.626	0.920718	429.423	423	330.803	316	0	0	0	
2	8	1	1	70	785	822	[762,798,808,859]	71.17	-84.02					200.031	0.939661	488.434	486	361.972	356	0	0	0	
2	8	1	1	71	686	849	[661,803,745,885]	47.93	-89.94					352.42	0.651745	624.335	552	551.14	440	1	1	1	
2	8	1	1	72	856	876	[833,848,879,899]	91.94	-97.34					153.74	0.958973	498.593	487	372.734	355	0	0	0	
2	8	1	1	73	316	886	[290,858,343,917]	-64.73	-101.3					210.759	0.948514	517.593	504	389.098	369	1	0	0	
2	8	1	1	74	932	880	[911,861,958,900]	114.49	-98.65					113.7	0.924129	418.886	414	350.681	340	0	0	0	
2	8	1	1	75	1068	890	[1056,874,1079,920]	153.74	-103.98					68.5919	0.76205	405.876	401	328.631	319	0	0	0	
2	8	1	1	76	623	892	[605,881,648,906]	25.03	-103.3					63.6924	0.633283	550.074	535	427.809	415	1	0	0	
2	8	1	1	77	896	911	[873,884,922,943]	104.1	-109.04					179.673	0.963047	415.025	409	336.991	332	0	0	0	
2	8	1	1	78	226	911	[202,886,254,938]	-90.46	-108.21					173.254	0.96472	444.093	436	358.928	343	0	0	0	
2	8	1	1	79	955	907	[936,886,975,929]	120.86	-106.89					112.349	0.970741	425.231	418	359.192	340	0	0	0	
2	8	1	1	80	658	915	[635,890,676,937]	34.25	-108.99					112.011	0.790601	527.134	502	539.367	384	1	1	1	
2	8	1	1	81	782	933	[756,909,806,961]	70.14	-114.78					162.188	0.957992	482.272	471	358.489	347	0	0	0	
2	8	1	1	82	610	942	[585,918,635,971]	20.97	-117.7					153.909	0.951913	489.965	481	440.46	369	0	0	0	
2	8	1	1	83	986	961	[957,934,1016,989]	130.11	-122.58					217.095	0.991418	386.493	378	306.405	301	0	0	0	
2	8	1	1	84	182	990	[161,967,204,1017]	-103.71	-131.65					147.743	0.960455	422.203	418	314.655	312	0	0	0	
2	8	1	1	85	1070	981	[1060,968,1079,1015]	154.36	-131.24					55.5831	0.730542	335.587	332	280.008	277	0	0	0	
2	8	1	1	86	109	1018	[78,979,140,1050]	-125.18	-137.86					315.928	0.953074	474.121	467	329.976	322	0	0	0	
2	8	1	1	87	498	1020	[462,984,533,1064]	-12.33	-140.96					393.558	0.981522	505.288	501	355.289	351	1	0	0	
2	8	1	1	88	826	1014	[803,984,850,1047]	83.21	-138.33					201.467	0.970235	404.903	398	362.069	347	0	0	0	
2	8	1	1	89	768	1026	[744,1002,793,1051]	66.46	-141.58					160.921	0.953689	377.659	375	325.866	322	0	0	0	
2	8	1	1	90	272	1034	[238,1014,303,1055]	-77.79	-143.99					186.347	0.908459	434.397	425	350.676	318	0	0	0	
2	8	1	1	91	205	1051	[175,1030,231,1076]	-97.71	-149.14					170.466	0.900622	399.695	399	312.837	297	0	0	0	
2	8	1	1	92	914	1058	[892,1037,940,1079]	109.33	-151.11					147.489	0.879152	375.583	371	314.8	308	0	0	0	
2	8	1	1	93	336	1062	[317,1045,367,1079]	-57.77	-152.58					116.741	0.84461	448.161	442	337.267	327	0	0	0	
2	8	1	1	94	271	1068	[254,1058,296,1079]	-76.64	-154.21					56.0054	0.759546	468.466	458	321.169	318	0	0	0	
2	8	1	1	95	761	1071	[746,1064,797,1079]	67.34	-154.71					53.8936	0.677921	350.412	350	298.641	297	0	0	0	
2	8	1	2	1	240	21	[218,0,271,41]	-406.5	792.51					151.46	0.793871	451.089	416	859.015	296	0	1	0	
2	8	1	2	2	714	12	[692,0,736,24]	-269.59	794.82					65.2974	0.824218	436.274	430	352.743	329	0	0	0	
2	8	1	2	3	1071	39	[1064,4,1079,57]	-165.51	788.28					47.8116	0.601371	354.465	347	268.742	262	0	0	0	
2	8	1	2	4	32	22	[16,6,52,39]	-467.67	791.31					75.0118	0.796168	321.946	314	226.309	212	0	0	0	
2	8	1	2	5	73	27	[51,5,102,47]	-455.05	789.94					136.001	0.771994	315.714	310	254.922	223	0	0	0	
2	8	1	2	6	810	38	[785,10,839,65]	-241.26	786.84					191.669	0.942963	460.081	456	332.761	320	0	0	0	
2	8	1	2	7	507	75	[482,50,535,104]	-329.84	775.57					187.952	1.003	482.645	469	355.589	341	0	0	0	
2	8	1	2	8	1031	82	[1001,51,1061,116]	-177.89	773.4					230.019	0.983688	362.767	355	278.693	275	0	0	0	
2	8	1	2	9	619	91	[547,60,655,128]	-301.38	770.87					431.74	0.802197	474.811	466	386.17	330	0	0	0	
2	8	1	2	10	821	91	[811,66,834,105]	-237.93	772.45					49.8389	0.7502	687.807	678	473.62	475	1	0	0	
2	8	1	2	11	924	98	[896,72,956,125]	-208.22	768.45					201.299	1.01989	390.392	382	310.072	300	0	0	0	
2	8	1	2	12	145	111	[119,79,172,143]	-434.93	765.34					221.656	0.976188	411.061	406	294.593	290	0	0	0	
2	8	1	2	13	848	98	[832,81,860,116]	-231.34	769.23					55.1607	0.735406	693.054	692	465.703	469	1	0	0	
2	8	1	2	14	388	107	[359,82,414,135]	-364.98	766.28					197.582	0.933047	496.291	486	357.835	345	0	0	0	
2	8	1	2	15	711	116	[681,86,739,145]	-271.27	763.89					210.253	0.973512	519.235	517	362.943	355	1	0	0	
2	8	1	2	16	766	116	[742,92,790,141]	-254.23	764.11					152.811	0.948002	465.284	453	346.349	331	0	0	0	
2	8	1	2	17	266	148	[243,112,290,174]	-399.61	755.77					200.116	0.959733	426.541	426	327.131	319	0	0	0	
