Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G10,16 h,480.866,467,352.58,334,0,0,0,DMSO_10%_16h,1
G10,16 h,538.102,526,496.671,468,1,0,0,DMSO_10%_16h,1
G10,16 h,510.222,496,406.183,371,1,0,0,DMSO_10%_16h,1
G10,16 h,444.349,436,358.661,347,0,0,0,DMSO_10%_16h,1
G10,16 h,373.718,368,296.796,294,0,0,0,DMSO_10%_16h,1
G10,16 h,552.515,540,475.606,463,1,0,0,DMSO_10%_16h,1
G10,16 h,626.779,619,498.683,461,1,0,0,DMSO_10%_16h,1
G10,16 h,546.811,524,483.198,456,1,0,0,DMSO_10%_16h,1
G10,16 h,517.321,506,390.444,357,1,0,0,DMSO_10%_16h,1
G10,16 h,483.917,470,358.58,346,0,0,0,DMSO_10%_16h,1
G10,16 h,447.941,401,1067.04,420,0,1,0,DMSO_10%_16h,1
G10,16 h,363.47,347,365.569,308,0,0,0,DMSO_10%_16h,1
G10,16 h,407.439,399,342.864,332,0,0,0,DMSO_10%_16h,1
G10,16 h,443.387,433,376.207,361,0,0,0,DMSO_10%_16h,1
G10,16 h,418.37,412,380.162,327,0,0,0,DMSO_10%_16h,1
G10,16 h,507.474,498,388.903,380,1,0,0,DMSO_10%_16h,1
G10,16 h,425.148,419,331.152,323,0,0,0,DMSO_10%_16h,1
G10,16 h,398.65,396,359.679,353,0,0,0,DMSO_10%_16h,1
G10,16 h,650.613,643,398.487,391,1,0,0,DMSO_10%_16h,1
G10,16 h,459.642,449,339.208,328,0,0,0,DMSO_10%_16h,1
G10,16 h,519.916,513,429.86,408,1,0,0,DMSO_10%_16h,1
G10,16 h,521.51,516,407.899,385,1,0,0,DMSO_10%_16h,1
G10,16 h,429.367,421,365.402,348,0,0,0,DMSO_10%_16h,1
G10,16 h,476.395,466,370.359,356,0,0,0,DMSO_10%_16h,1
G10,16 h,504.995,501,419.004,406,1,0,0,DMSO_10%_16h,1
G10,16 h,533.989,523,449.833,417,1,0,0,DMSO_10%_16h,1
G10,16 h,317.275,314,327.689,313,0,0,0,DMSO_10%_16h,1
G10,16 h,456.464,441,503.056,361,0,1,0,DMSO_10%_16h,1
G10,16 h,385.617,380,309.058,294,0,0,0,DMSO_10%_16h,1
G10,16 h,365.691,359,311.823,302,0,0,0,DMSO_10%_16h,1
G10,16 h,517.428,505,408.293,391,1,0,0,DMSO_10%_16h,1
G10,16 h,480.361,474,377.674,369,0,0,0,DMSO_10%_16h,1
G10,16 h,391.8,384,323.89,310,0,0,0,DMSO_10%_16h,1
G10,16 h,381.538,379,353.036,335,0,0,0,DMSO_10%_16h,1
G10,16 h,415.505,409,319.74,307,0,0,0,DMSO_10%_16h,1
G10,16 h,489.227,478,393.233,372,0,0,0,DMSO_10%_16h,1
G10,16 h,437.249,428,320.185,306,0,0,0,DMSO_10%_16h,1
G10,16 h,524.37,509,393.382,365,1,0,0,DMSO_10%_16h,1
G10,16 h,468.766,460,375.03,361,0,0,0,DMSO_10%_16h,1
G10,16 h,472.692,464,369.583,359,0,0,0,DMSO_10%_16h,1
G10,16 h,452.408,445,324.627,313,0,0,0,DMSO_10%_16h,1
G10,16 h,466.028,455,349.179,340,0,0,0,DMSO_10%_16h,1
G10,16 h,349.794,347,286.16,284,0,0,0,DMSO_10%_16h,1
G10,16 h,395.014,390,421.966,405,0,0,0,DMSO_10%_16h,1
G10,16 h,475.314,474,425.834,375,0,0,0,DMSO_10%_16h,1
G10,16 h,416.079,413,458.03,423,0,0,0,DMSO_10%_16h,1
G10,16 h,413.28,394,372.927,337,0,0,0,DMSO_10%_16h,1
G10,16 h,350.791,349,296.039,279,0,0,0,DMSO_10%_16h,1
G10,16 h,423.67,420,387.596,363,0,0,0,DMSO_10%_16h,1
G10,16 h,463.774,456,542.811,509,0,1,0,DMSO_10%_16h,1
G10,16 h,426.45,421,499.949,405,0,0,0,DMSO_10%_16h,1
G10,16 h,550.884,531,824.371,550,1,1,1,DMSO_10%_16h,1
G10,16 h,339.007,329,375.625,345,0,0,0,DMSO_10%_16h,1
G10,16 h,467.818,447,986.023,516,0,1,0,DMSO_10%_16h,1
G10,16 h,381.121,379,412.639,363,0,0,0,DMSO_10%_16h,1
G10,16 h,399.543,372,335.255,319,0,0,0,DMSO_10%_16h,1
G10,16 h,362.148,358,448.101,362,0,0,0,DMSO_10%_16h,1
G10,16 h,405.476,397,386.666,367,0,0,0,DMSO_10%_16h,1
G10,16 h,318.417,313,251.598,247,0,0,0,DMSO_10%_16h,1
G10,16 h,391.567,385,438.4,342,0,0,0,DMSO_10%_16h,1
G10,16 h,396.663,384,341.299,321,0,0,0,DMSO_10%_16h,1
G10,16 h,304.745,303,259.628,252,0,0,0,DMSO_10%_16h,1
G10,16 h,227.098,225,253.291,233,0,0,0,DMSO_10%_16h,1
G10,16 h,373.201,363,270.42,266,0,0,0,DMSO_10%_16h,1
G10,16 h,400.203,391,345.735,331,0,0,0,DMSO_10%_16h,1
G10,16 h,396.41,389,316.703,305,0,0,0,DMSO_10%_16h,1
G10,16 h,341.172,332,305.767,298,0,0,0,DMSO_10%_16h,1
G10,16 h,325.887,319,286.667,281,0,0,0,DMSO_10%_16h,1
G10,16 h,330.501,329,249.584,250,0,0,0,DMSO_10%_16h,1
G10,16 h,508.023,495,408.784,378,1,0,0,DMSO_10%_16h,1
G10,16 h,453.187,447,391.725,372,0,0,0,DMSO_10%_16h,1
G10,16 h,421.424,423,437.185,380,0,0,0,DMSO_10%_16h,1
G10,16 h,341.934,334,399.109,300,0,0,0,DMSO_10%_16h,1
G10,16 h,471.736,467,620.16,560,0,1,0,DMSO_10%_16h,1
G10,16 h,441.812,432,508.14,387,0,1,0,DMSO_10%_16h,1
G10,16 h,486.201,483,383.376,372,0,0,0,DMSO_10%_16h,1
G10,16 h,543.701,525,405.464,395,1,0,0,DMSO_10%_16h,1
G10,16 h,410.963,405,371.46,360,0,0,0,DMSO_10%_16h,1
G10,16 h,470.329,467,375.9,367,0,0,0,DMSO_10%_16h,1
G10,16 h,401.729,390,392.066,361,0,0,0,DMSO_10%_16h,1
G10,16 h,438.795,422,396.977,362,0,0,0,DMSO_10%_16h,1
G10,16 h,482.55,480,352.134,350,0,0,0,DMSO_10%_16h,1
G10,16 h,488.531,482,389.253,378,0,0,0,DMSO_10%_16h,1
G10,16 h,364.85,353,366.489,351,0,0,0,DMSO_10%_16h,1
G10,16 h,472.384,460,380.635,371,0,0,0,DMSO_10%_16h,1
