Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G6,30 min,378.329,367,449.532,435,0,0,0,DMSO_10%_30min,1
G6,30 min,461.678,441,1015.07,443,0,1,0,DMSO_10%_30min,1
G6,30 min,47472.8,48559,8043.92,7436,1,1,1,DMSO_10%_30min,1
G6,30 min,447.698,422,331.379,316,0,0,0,DMSO_10%_30min,1
G6,30 min,602.198,586,553.927,521,1,1,1,DMSO_10%_30min,1
G6,30 min,540.914,507,581.6,514,1,1,1,DMSO_10%_30min,1
G6,30 min,534.623,524,586.613,551,1,1,1,DMSO_10%_30min,1
G6,30 min,490.959,459,655.207,629,0,1,0,DMSO_10%_30min,1
G6,30 min,382.869,367,386.136,339,0,0,0,DMSO_10%_30min,1
G6,30 min,477.421,467,612.846,578,0,1,0,DMSO_10%_30min,1
G6,30 min,505.033,464,626.565,592,1,1,1,DMSO_10%_30min,1
G6,30 min,556.146,534,698.376,689,1,1,1,DMSO_10%_30min,1
G6,30 min,521.327,506,696.906,683,1,1,1,DMSO_10%_30min,1
G6,30 min,553.591,533,552.161,525,1,1,1,DMSO_10%_30min,1
G6,30 min,395.902,366,425.939,404,0,0,0,DMSO_10%_30min,1
G6,30 min,441.522,428,507.748,415,0,1,0,DMSO_10%_30min,1
G6,30 min,608.623,551,451.993,423,1,0,0,DMSO_10%_30min,1
G6,30 min,544.519,536,431.534,409,1,0,0,DMSO_10%_30min,1
G6,30 min,501.398,491,395.437,383,1,0,0,DMSO_10%_30min,1
G6,30 min,441.974,431,542.167,480,0,1,0,DMSO_10%_30min,1
G6,30 min,494.135,456,444.989,419,0,0,0,DMSO_10%_30min,1
G6,30 min,497.505,486,384.851,374,0,0,0,DMSO_10%_30min,1
G6,30 min,632.931,618,539.757,520,1,1,1,DMSO_10%_30min,1
G6,30 min,374.186,359,446.909,405,0,0,0,DMSO_10%_30min,1
G6,30 min,644.593,629,728.878,664,1,1,1,DMSO_10%_30min,1
G6,30 min,494.989,472,506.336,434,0,1,0,DMSO_10%_30min,1
G6,30 min,528.896,522,403.343,392,1,0,0,DMSO_10%_30min,1
